UID,KELAS,TOTAL
vbeG2ZeHfW,1 ARIF,16
tVQpqBlCUQ,N/A,2
GQhcXDNpu5,1 ARIF,2
 0w0BPel4Ni,1 CEMERLANG,3
tdyQO9cjkn,1 BESTARI,2
tE44hHuNct,1 ARIF ,2
Izws2m87Jl,1 BESTARI,1
E2wHlzB7CH,1 CEMERLANG,1
0JCEORU1r0,1 BESTARI,2
hjfPiPF50q,1 ARIF ,1
VxitXKYB4L,1 BESTARI,2
ne8AFZLq5k,1 KRKK,6
Yeed41tZsk,1 CEMERLANG,1
xHfkwQIN4q,1 ARIF,8
LvkSbDEMU2,1 BESTARI,1
Z1b5VAhSdd,1 CEMERLANG,12
Nb1GjzUEgk,1 ARIF ,3
FYOupXaWKO,1 BESTARI,1
cpd3aplavL,1 CEMERLANG,1
VQtBFS7G0t,1 CEMERLANG,1
Mj8zZwd8qz,1 ARIF,2
 hx24hJUrdK,1 KRKK,2
7APse1I1C5,1 BESTARI,1
zgQFdDUPIz,1 BESTARI,8
